global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
505,3,70,0.00003929,4.956641,0,0,,,,
506,3,71,0.00003929,4.563477,0,0.15,,,,
507,3,72,0.00003929,5.060547,0,0,,,,
508,3,73,0.00003929,4.960156,0,0,,,,
509,3,74,0.00003929,4.646094,0,0.15,,,,
510,3,75,0.00003929,4.693652,0.05,0.1,,,,
511,3,76,0.00003928,4.610156,0,0.05,,,,
512,3,77,0.00003928,4.938184,0,0.05,,,,
513,3,78,0.00003928,4.618848,0,0.05,,,,
514,3,79,0.00003928,4.941699,0,0.05,,,,
515,3,80,0.00003928,4.740332,0,0,,,,
516,3,81,0.00003927,4.64502,0.05,0.15,,,,
517,3,82,0.00003927,4.841797,0,0.05,,,,
518,3,83,0.00003927,4.831152,0,0,,,,
519,3,84,0.00003927,4.894629,0,0.05,,,,
520,3,85,0.00003927,4.790235,0.1,0.1,,,,
521,3,86,0.00003927,4.531836,0,0.15,,,,
522,3,87,0.00003926,4.780273,0,0.1,,,,
523,3,88,0.00003926,4.549902,0.05,0.1,,,,
